Code	Country	PTJ1 (wds)	PTJ2 (wds)	SMK1 (wds)	SMK2 (wds)	Self Ev	Sex	Age	Grade/Degree	Yrs of Stay (< Yrs)	ENS Type	Major/ Occupation	Acad. Genre	Test	Score	VST	CEFR	INTM	INSM	INTM+INSM	INTM-INSM	Primary	Secondary	College	Inschool	Outschool	Listening	Reading	Speaking	Writing	NS	Pronunciation	Presentation	EssayW
SM_CHN_001	CHN	99	129	109	108	1	M	20	1	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	39	B1_2	5	5	10	0	3	3.75	3.88	4.11	3.33	4.5	4	3	3.75	2	4	4	5
SM_CHN_002	CHN	52	59	43	49	1	M	20	2	N/A	N/A	Nuclear Power Engineering	Sciences & Technology	N/A	N/A	44	B1_2	4.83	5.17	10	-0.34	3	4.63	3.5	4.33	3.56	4.25	4.5	3.5	4	3	4	4	4
SM_CHN_003	CHN	95	107	90	98	1	M	19	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	33	B1_1	3.83	1.67	5.5	2.16	1	2.5	2.88	3	2	3	3	2	2.75	1	3	2	4
SM_CHN_004	CHN	77	81	69	90	0	F	20	3	1	N/A	Information Engineering	Sciences & Technology	N/A	N/A	43	B1_2	4	4.83	8.83	-0.83	5	3.75	3.13	3.44	3.78	3.5	4	3.5	2.75	3	4	4	3
SM_CHN_005	CHN	95	102	93	102	3	M	19	2	N/A	N/A	Physics	Sciences & Technology	N/A	N/A	34	B1_1	5	4.5	9.5	0.5	2	2.63	3.13	2.78	2.78	3.75	3	3.25	1.5	6	2	4	5
SM_CHN_006	CHN	89	99	98	128	1	F	20	2	N/A	N/A	Finance	Social Sciences	N/A	N/A	36	B1_2	3.5	5.5	9	-2	2	2.38	2	2	2.33	2.75	2.25	2	1.75	6	3	4	3
SM_CHN_007	CHN	142	164	103	123	1	F	21	2	N/A	N/A	Economics	Social Sciences	N/A	N/A	32	B1_1	4.5	5	9.5	-0.5	1.5	4.25	1.88	3.44	2.33	3	3.5	2.5	3.25	1	5	3	5
SM_CHN_008	CHN	99	94	111	113	1	M	18	2	N/A	N/A	Software Engineering	Sciences & Technology	N/A	N/A	34	B1_1	2.67	3.17	5.84	-0.5	3	2.5	2.63	3	2.22	2.75	2.75	2	2.75	4	1	1	5
SM_CHN_009	CHN	87	122	82	79	1	M	20	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	42	B1_2	4.33	5.17	9.5	-0.84	2	3.25	3.5	3.56	2.89	3.75	3.25	3.25	3.25	2	3	5	5
SM_CHN_010	CHN	100	98	100	90	1	F	18	2	N/A	N/A	Sea Engineering	Sciences & Technology	N/A	N/A	39	B1_2	2.67	4.17	6.84	-1.5	1.5	1.5	1.5	1.56	1.44	2.25	1	1.25	1.5	1	2	1	2
